"単位[MW平均]","","","供給力"
"DATE","TIME","エリア需要","原子力","火力（ＬＮＧ）","火力（石炭）","火力（石油）","火力（その他）","水力","地熱","バイオマス","太陽光発電実績","太陽光出力制御量","風力発電実績","風力出力制御量","揚水","蓄電池","連系線","その他","合計"
"20251001","11:30","11638","2880","708","1748","136","172","416","110","592","7732","0","4","0","-1078","14","1968","186","11652"
"20251001","12:00","11910","2894","744","1832","134","172","424","108","594","7918","0","8","0","-1352","8","1744","188","11928"
"20251001","12:30","11698","2908","710","1890","140","176","420","110","592","7664","0","12","0","-1550","0","1548","188","11712"
"20251001","13:00","11544","2922","766","1888","134","178","430","110","596","7606","0","20","0","-1560","12","1728","188","11562"
"20251001","13:30","12114","2934","690","1898","142","180","406","110","634","7574","0","22","0","-952","-8","1684","188","12134"
"20251001","14:00","12056","2940","678","1996","140","176","390","110","722","6884","0","28","0","-804","2","1380","188","12070"
"20251001","14:30","12178","2956","750","2228","144","192","400","110","760","6676","0","22","0","-798","10","1440","188","12198"
"20251001","15:00","12220","2954","692","2798","144","248","426","110","798","6088","0","20","0","-846","-20","1368","188","12232"
"20251001","15:30","12144","2958","668","3382","144","280","450","110","812","5246","0","18","0","-794","-24","1280","188","12158"
"20251001","16:00","11992","2956","816","3954","148","280","504","108","814","4298","0","12","0","-202","-8","1860","190","12010"
"20251001","16:30","12056","2956","886","4082","150","284","922","110","816","3212","0","10","0","354","-18","1880","192","12076"
"20251001","17:00","11850","2952","1128","4134","148","308","1002","108","820","2040","0","14","0","1004","12","2000","194","11864"
"20251001","17:30","11582","2958","1222","4134","150","308","1084","110","820","942","0","10","0","1508","-30","1816","198","11598"
"20251001","18:00","11328","2960","1240","4132","150","310","1088","110","820","142","0","6","0","1596","-30","1376","198","11346"
"20251001","18:30","11216","2954","1248","4134","152","306","1096","110","818","26","0","8","0","1716","-16","1520","202","11234"
"20251001","19:00","11158","2946","1246","4136","144","310","1040","112","824","16","0","6","0","1588","0","1400","204","11172"
"20251001","19:30","10780","2948","1260","4140","144","310","934","110","822","4","0","12","0","1450","2","1532","198","10802"
"20251001","20:00","10568","2950","1246","4136","138","296","900","112","814","2","0","10","0","806","4","1032","196","10578"
"20251001","20:30","10252","2958","1266","4142","134","292","752","110","818","4","0","18","0","582","0","996","196","10276"
"20251001","21:00","9954","2952","1272","4138","130","272","704","110","816","0","0","14","0","310","0","952","196","9962"
"20251001","21:30","9640","2962","1144","4146","124","246","652","110","816","0","0","28","0","138","-4","896","196","9662"
"20251001","22:00","9370","2960","746","4096","120","230","628","112","816","0","0","24","0","118","4","668","194","9380"
"20251001","22:30","9194","2958","596","4094","114","248","562","112","816","0","0","26","0","118","2","628","194","9212"
"20251001","23:00","8990","2958","586","3942","108","248","484","110","824","0","0","14","0","120","18","604","196","9004"
"20251001","23:30","8860","2960","594","4008","104","252","452","112","820","0","0","18","0","134","6","776","194","8878"
"20251001","24:00","8534","2956","494","3846","92","248","410","112","818","0","0","16","0","90","10","740","196","8548"
"20251002","0:30","8290","2962","544","3930","98","248","408","112","818","0","0","22","0","-138","-6","888","196","8306"
"20251002","1:00","7854","2958","484","3938","90","252","396","112","814","0","0","16","0","-302","-4","1080","196","7870"
"20251002","1:30","7688","2962","466","4056","92","244","472","112","818","0","0","16","0","-300","4","1432","196","7706"
"20251002","2:00","7596","2958","440","3878","90","240","498","110","820","0","0","18","0","-288","-6","1344","196","7610"
"20251002","2:30","7582","2962","426","3870","88","240","514","112","822","0","0","16","0","-280","-4","1360","196","7602"
"20251002","3:00","7724","2960","456","3916","88","240","516","112","820","0","0","16","0","-296","-18","1272","198","7736"
"20251002","3:30","7788","2962","438","3976","88","240","542","112","822","0","0","24","0","-288","-10","1300","196","7802"
"20251002","4:00","7948","2962","444","3984","88","242","554","110","824","0","0","18","0","-288","-8","1160","196","7966"
"20251002","4:30","8132","2954","500","4018","88","240","610","112","822","0","0","22","0","-290","0","1124","196","8148"
"20251002","5:00","8448","2960","514","4018","90","222","616","110","822","0","0","26","0","-264","-2","844","196","8464"
"20251002","5:30","8620","2956","698","4128","94","222","738","112","824","0","0","22","0","70","-2","1420","196","8638"
"20251002","6:00","8678","2956","568","4086","94","222","718","110","820","0","0","24","0","134","-12","1224","196","8692"
"20251002","6:30","8596","2958","680","4096","100","224","762","112","816","8","0","26","0","138","-30","1472","196","8614"
"20251002","7:00","8316","2958","538","3980","102","220","754","110","814","176","0","28","0","128","-22","1656","198","8328"
"20251002","7:30","8542","2964","538","3856","104","222","584","112","808","1076","0","18","0","32","-20","1928","196","8562"
"20251002","8:00","8816","2958","606","3632","104","222","492","110","800","2056","0","18","0","-554","-4","1808","196","8828"
"20251002","8:30","9222","2964","590","3212","116","196","436","110","796","3220","0","14","0","-804","8","1816","194","9236"
"20251002","9:00","9804","2962","584","2932","118","160","414","110","796","4334","0","6","0","-894","2","1896","194","9822"
"20251002","9:30","10416","2960","576","2988","124","160","404","110","794","5556","0","8","0","-1222","18","2232","192","10436"
"20251002","10:00","10786","2960","592","2760","120","162","386","106","790","6570","0","2","0","-1476","-10","2356","192","10798"
"20251002","10:30","11064","2962","616","2336","126","162","390","104","764","7244","0","10","0","-1502","-10","2316","192","11078"
"20251002","11:00","11212","2960","594","2238","126","160","382","106","738","7704","0","16","0","-1648","26","2364","192","11230"
"20251002","11:30","11410","2960","632","2204","128","158","382","106","720","7972","0","16","0","-1722","34","2352","192","11430"
"20251002","12:00","11436","2958","634","2118","124","158","370","102","636","8122","0","16","0","-1700","36","2320","192","11446"
"20251002","12:30","11338","2962","610","1782","126","162","356","106","572","8278","0","18","0","-1582","32","2256","192","11358"
"20251002","13:00","11326","2958","662","1752","124","164","346","102","574","8332","0","10","0","-1598","-30","2248","192","11340"
"20251002","13:30","11830","2962","840","2096","130","174","354","104","568","8104","0","18","0","-1562","22","2152","192","11850"
"20251002","14:00","11954","2956","740","2592","130","162","352","106","634","7680","0","16","0","-1682","-8","1904","192","11966"
"20251002","14:30","12024","2962","698","3128","136","178","384","104","734","6778","0","20","0","-1170","12","2116","192","12040"
"20251002","15:00","12022","2962","690","2814","136","210","402","104","782","5880","0","22","0","-592","-4","1560","194","12040"
"20251002","15:30","11934","2960","808","2876","136","258","422","104","794","4740","0","26","0","-126","-16","1220","192","11954"
"20251002","16:00","11880","2962","912","3706","134","304","428","104","796","3440","0","34","0","148","-30","1240","196","11894"
"20251002","16:30","11570","2964","1138","3966","140","314","776","108","800","2388","0","52","0","334","-32","1560","196","11584"
"20251002","17:00","11512","2962","1356","4114","142","312","876","108","804","1464","0","68","0","702","-34","1540","198","11532"
"20251002","17:30","11138","2952","1404","4132","142","316","966","110","800","600","0","76","0","756","-30","1268","200","11156"
"20251002","18:00","10950","2952","1444","4128","140","316","968","110","794","78","0","66","0","1536","-22","1744","200","10966"
"20251002","18:30","11068","2952","1446","4134","142","316","984","112","800","20","0","64","0","1508","36","1628","204","11090"
"20251002","19:00","10952","2950","1478","4134","144","314","964","110","808","18","0","70","0","782","32","1048","206","10962"
"20251002","19:30","10630","2958","1470","4144","140","290","776","112","804","2","0","70","0","600","28","940","198","10652"
"20251002","20:00","10380","2954","1442","4140","134","278","564","110","804","0","0","68","0","224","-4","520","196","10390"
"20251002","20:30","10000","2960","1440","4140","132","278","462","112","804","0","0","62","0","122","20","712","196","10016"
"20251002","21:00","9730","2966","1370","4144","126","264","406","110","800","0","0","50","0","120","6","812","196","9746"
"20251002","21:30","9480","2956","1246","4146","122","242","388","112","800","0","0","58","0","120","16","900","196","9502"
"20251002","22:00","9234","2962","900","4138","112","234","372","112","804","0","0","50","0","134","0","768","194","9244"
"20251002","22:30","9206","2958","968","4144","110","236","368","112","802","0","0","46","0","152","2","868","194","9224"
"20251002","23:00","8948","2960","884","4146","102","240","360","112","810","0","0","40","0","118","-14","992","196","8962"
"20251002","23:30","8880","2960","886","4148","100","236","364","112","808","0","0","36","0","136","8","1088","194","8900"
"20251002","24:00","8562","2960","654","4098","96","238","358","112","804","0","0","32","0","78","-8","1044","196","8574"
"20251003","0:30","8278","2960","522","4144","92","246","366","112","804","0","0","48","0","-180","-30","984","196","8296"
"20251003","1:00","7920","2960","504","4094","90","248","364","110","804","0","0","40","0","-300","-32","1144","196","7934"
"20251003","1:30","7720","2962","482","4122","88","248","354","112","804","0","0","36","0","-292","2","1376","196","7738"
"20251003","2:00","7714","2962","476","4130","86","248","346","110","806","0","0","36","0","-544","-12","1112","196","7728"
"20251003","2:30","7602","2960","538","4132","86","248","374","112","806","0","0","40","0","-486","-2","1380","196","7624"
"20251003","3:00","7774","2962","534","4142","84","248","368","110","804","0","0","44","0","-276","-2","1432","198","7784"
"20251003","3:30","7858","2958","538","4148","86","248","402","112","806","0","0","52","0","-282","0","1392","196","7872"
"20251003","4:00","7988","2962","544","4064","86","248","410","112","808","0","0","38","0","-10","-20","1432","196","8006"
"20251003","4:30","8234","2958","506","3958","88","250","420","112","806","0","0","40","0","120","0","1200","196","8254"
"20251003","5:00","8512","2956","544","3928","86","248","430","110","810","0","0","38","0","186","16","1024","196","8524"
"20251003","5:30","8710","2958","504","4120","92","250","436","112","810","0","0","44","0","154","6","952","196","8730"
"20251003","6:00","8766","2960","712","4140","94","254","432","106","806","0","0","48","0","122","14","1104","194","8778"
"20251003","6:30","8742","2956","852","4142","96","252","436","110","808","4","0","66","0","166","-26","1292","194","8764"
"20251003","7:00","8676","2960","744","4084","100","244","434","106","810","74","0","78","0","140","-28","1256","196","8686"
"20251003","7:30","8720","2964","712","3940","106","240","432","108","808","416","0","84","0","126","-28","1360","194","8742"
"20251003","8:00","9000","2964","758","3796","108","244","432","106","804","902","0","100","0","120","-30","1488","194","9010"
"20251003","8:30","9506","2960","998","3860","118","262","468","108","800","1372","0","104","0","154","-28","1840","192","9528"
"20251003","9:00","9976","2964","972","3976","122","246","642","104","802","1756","0","92","0","140","-30","1992","192","9986"
"20251003","9:30","10482","2958","926","4078","128","242","846","106","802","2148","0","82","0","-212","10","1804","190","10500"
"20251003","10:00","10620","2962","928","4058","128","244","860","106","798","2460","0","76","0","-572","14","1616","188","10634"
"20251003","10:30","10620","2960","924","4080","130","246","864","106","798","2648","0","82","0","-392","14","2008","188","10640"
"20251003","11:00","10782","2960","914","4106","130","254","866","106","802","2730","0","104","0","-288","24","2104","190","10794"
"20251003","11:30","10774","2960","942","4092","130","272","872","106","800","2734","0","100","0","-484","30","1952","188","10790"
"20251003","12:00","10802","2954","1024","4138","132","270","866","106","802","2702","0","120","0","-516","26","1996","190","10818"
"20251003","12:30","10550","2962","920","4032","136","272","604","106","802","2840","0","148","0","-550","-6","1888","190","10568"
"20251003","13:00","10444","2958","916","4040","136","256","546","106","802","2694","0","152","0","-288","22","2072","190","10458"
"20251003","13:30","10752","2962","994","4138","140","248","534","106","800","2678","0","166","0","-88","14","2112","190","10770"
"20251003","14:00","10990","2958","1058","4140","138","252","610","108","800","2500","0","172","0","140","10","2072","190","11004"
"20251003","14:30","11102","2960","1268","4136","144","250","776","108","800","2082","0","192","0","212","8","2008","190","11118"
"20251003","15:00","11004","2962","1216","4138","144","284","792","108","800","1700","0","208","0","118","-4","1640","192","11018"
"20251003","15:30","10818","2958","1274","4140","146","320","800","108","798","1216","0","234","0","176","-24","1500","194","10840"
"20251003","16:00","10878","2966","1266","4124","146","316","580","110","800","770","0","222","0","502","-38","1072","196","10888"
"20251003","16:30","10784","2962","1254","4136","148","304","828","108","804","478","0","154","0","496","-32","1032","196","10804"
"20251003","17:00","10632","2964","1272","4136","148","302","692","108","792","240","0","170","0","712","-34","1052","196","10646"
"20251003","17:30","10536","2954","1254","4142","148","300","936","108","766","92","0","226","0","762","-30","1296","198","10560"
"20251003","18:00","10524","2952","1264","4138","146","298","838","108","764","4","0","182","0","1184","-12","1528","194","10532"
"20251003","18:30","10556","2954","1276","4140","148","296","824","108","752","2","0","168","0","1152","22","1464","198","10576"
"20251003","19:00","10486","2950","1248","4138","146","298","832","106","734","0","0","172","0","918","32","1272","196","10498"
"20251003","19:30","10166","2956","1258","4140","144","298","976","108","740","0","0","174","0","412","12","1224","194","10188"
"20251003","20:00","9998","2956","1158","4140","138","300","994","106","746","0","0","186","0","294","-22","1180","192","10008"
"20251003","20:30","9838","2960","1014","4140","134","280","678","108","754","0","0","176","0","300","10","892","192","9854"
"20251003","21:00","9516","2964","1052","4142","128","258","606","106","758","0","0","176","0","150","-2","1000","194","9532"
"20251003","21:30","9394","2962","976","4146","124","256","540","108","756","0","0","158","0","150","32","988","192","9412"
"20251003","22:00","9144","2968","918","4138","120","254","496","106","756","0","0","148","0","122","-30","1032","194","9158"
"20251003","22:30","9098","2964","906","4144","114","248","456","108","750","0","0","172","0","146","-16","1072","192","9112"
"20251003","23:00","8912","2962","842","4142","106","252","404","106","748","0","0","196","0","118","-24","1116","194","8930"
"20251003","23:30","8864","2964","858","4146","104","250","384","108","748","0","0","190","0","148","22","1232","192","8882"
"20251003","24:00","8556","2962","584","4026","96","250","366","106","732","0","0","194","0","124","-8","1056","194","8570"
"20251004","0:30","8284","2964","626","3988","96","248","368","108","726","0","0","192","0","120","-24","1304","194","8302"
"20251004","1:00","7984","2964","626","3986","90","248","354","106","712","0","0","200","0","120","-20","1584","196","7998"
"20251004","1:30","7818","2964","554","3770","88","266","358","108","704","0","0","194","0","120","20","1504","194","7836"
"20251004","2:00","7732","2964","568","3682","88","266","352","104","704","0","0","174","0","120","12","1484","196","7746"
"20251004","2:30","7734","2964","576","3704","86","258","368","108","706","0","0","162","0","128","2","1504","194","7752"
"20251004","3:00","7812","2962","644","3702","86","252","374","104","706","0","0","146","0","150","2","1496","194","7826"
"20251004","3:30","7930","2966","650","3916","88","250","422","108","706","0","0","140","0","122","-4","1608","194","7950"
"20251004","4:00","8092","2962","602","4030","84","254","438","104","706","2","0","158","0","132","6","1568","194","8104"
"20251004","4:30","8216","2960","630","3968","90","250","496","108","710","2","0","154","0","158","6","1488","194","8238"
"20251004","5:00","8546","2962","684","3958","90","272","506","104","704","0","0","152","0","168","18","1256","194","8556"
"20251004","5:30","8602","2960","750","4058","92","270","590","106","708","2","0","144","0","154","-12","1396","194","8620"
"20251004","6:00","8544","2958","748","4022","90","272","648","106","708","0","0","144","0","122","-16","1440","196","8558"
"20251004","6:30","8356","2960","642","3966","94","272","660","108","706","2","0","152","0","118","-34","1464","194","8376"
"20251004","7:00","8178","2962","726","3860","94","262","632","106","702","36","0","146","0","126","-28","1632","196","8188"
"20251004","7:30","8234","2964","716","3660","100","258","522","108","704","268","0","126","0","130","-34","1464","194","8252"
"20251004","8:00","8430","2962","726","3436","100","264","454","106","704","646","0","116","0","134","-30","1368","194","8444"
"20251004","8:30","8946","2962","1054","3258","112","240","434","106","702","1006","0","134","0","-220","38","1056","194","8964"
"20251004","9:00","9186","2962","900","3278","110","198","392","104","702","1370","0","144","0","-268","-20","868","194","9198"
"20251004","9:30","9508","2962","756","3278","116","160","374","106","702","1916","0","160","0","-302","2","896","194","9528"
"20251004","10:00","9892","2962","756","3264","116","162","338","104","700","2564","0","144","0","-296","12","1112","192","9906"
"20251004","10:30","10052","2960","712","3124","122","162","330","106","698","2822","0","114","0","-298","8","976","192","10076"
"20251004","11:00","10256","2958","654","2976","122","162","324","104","696","3406","0","120","0","-480","-12","960","194","10264"
"20251004","11:30","10596","2954","754","2948","128","162","312","106","700","3752","0","102","0","-534","20","980","192","10616"
"20251004","12:00","10480","2958","1102","3214","126","160","300","104","698","3462","0","56","0","-468","26","1440","194","10492"
"20251004","12:30","10452","2954","1122","3234","130","162","306","106","702","3226","0","30","0","-102","26","1616","194","10474"
"20251004","13:00","10364","2952","1096","3228","132","162","300","104","700","2862","0","18","0","136","24","1536","196","10374"
"20251004","13:30","10344","2956","1042","3270","134","162","304","106","702","2564","0","20","0","144","4","1236","194","10366"
"20251004","14:00","10246","2952","972","3312","132","168","302","104","704","2210","0","14","0","140","-4","944","194","10256"
"20251004","14:30","10284","2956","812","3876","132","172","318","106","700","2208","0","16","0","118","-2","1304","194","10302"
"20251004","15:00","10272","2956","824","3854","134","174","348","104","698","2132","0","18","0","114","-10","1252","194","10288"
"20251004","15:30","10222","2956","678","3812","136","180","424","106","704","1946","0","18","0","118","-20","1008","194","10244"
"20251004","16:00","10376","2956","650","3796","134","198","440","102","704","1812","0","18","0","116","-14","720","192","10384"
"20251004","16:30","10274","2956","600","3860","142","256","470","106","704","1386","0","18","0","118","-22","496","196","10294"
"20251004","17:00","10224","2960","954","4124","144","304","548","104","708","838","0","12","0","130","-30","760","200","10236"
"20251004","17:30","10168","2952","1032","4132","146","310","802","104","708","416","0","14","0","130","-30","728","200","10188"
"20251004","18:00","10276","2946","1180","4130","144","300","844","104","712","78","0","10","0","344","-30","676","202","10288"
"20251004","18:30","10374","2952","1206","4138","146","230","866","106","706","16","0","14","0","718","20","928","204","10394"
"20251004","19:00","10440","2948","1154","4130","146","218","704","110","704","0","0","24","0","476","34","400","204","10452"
"20251004","19:30","10192","2950","1176","4136","144","228","556","110","704","0","0","22","0","404","20","436","198","10212"
"20251004","20:00","9906","2952","1148","4136","136","226","528","110","708","0","0","12","0","206","24","464","196","9918"
"20251004","20:30","9764","2956","1132","4142","132","196","466","110","708","0","0","12","0","278","16","560","194","9782"
"20251004","21:00","9544","2952","1058","4136","128","154","450","110","712","0","0","8","0","118","-6","456","194","9558"
"20251004","21:30","9272","2958","804","4138","124","154","414","110","710","0","0","6","0","118","2","444","194","9288"
"20251004","22:00","9040","2954","792","4136","116","154","370","110","708","0","0","4","0","116","-2","596","194","9056"
"20251004","22:30","8904","2954","700","4136","112","152","348","110","708","0","0","2","0","118","-2","612","194","8920"
"20251004","23:00","8786","2954","612","4072","108","154","330","110","710","0","0","2","0","-26","6","424","194","8802"
"20251004","23:30","8632","2954","744","4140","104","150","332","110","706","0","0","2","0","-294","-14","480","194","8648"
"20251004","24:00","8356","2952","594","3952","100","152","322","110","710","0","0","0","0","-308","-28","380","196","8372"
"20251005","0:30","8008","2954","646","3986","96","154","328","110","706","0","0","2","0","-300","-26","824","194","8026"
"20251005","1:00","7776","2952","628","3934","96","150","318","110","708","0","0","0","0","-282","-28","992","196","7790"
"20251005","1:30","7564","2956","598","3942","94","152","324","110","706","0","0","4","0","-292","-32","1176","194","7580"
"20251005","2:00","7466","2958","570","3904","88","152","314","110","704","0","0","6","0","-282","-30","1208","196","7482"
"20251005","2:30","7446","2952","608","3878","90","154","322","110","708","0","0","4","0","-290","-4","1260","194","7466"
"20251005","3:00","7570","2960","618","3834","88","154","318","110","704","0","0","6","0","-244","10","1172","196","7582"
"20251005","3:30","7682","2958","572","4046","90","150","370","110","706","0","0","8","0","-264","4","1244","194","7700"
"20251005","4:00","7818","2960","614","3928","90","152","390","110","708","0","0","6","0","-248","20","1092","194","7832"
"20251005","4:30","7960","2956","616","4004","90","152","520","110","710","0","0","14","0","-284","32","1132","194","7982"
"20251005","5:00","8156","2956","674","4042","90","150","536","110","706","0","0","8","0","-276","8","1032","194","8166"
"20251005","5:30","8288","2958","586","4120","94","150","604","110","708","0","0","10","0","-278","6","964","194","8298"
"20251005","6:00","8212","2956","660","3930","94","152","614","108","706","0","0","12","0","-214","24","1004","196","8234"
"20251005","6:30","7988","2958","804","3754","96","154","598","110","706","4","0","16","0","156","-26","1520","194","8004"
"20251005","7:00","7726","2956","844","3340","94","152","582","108","708","118","0","18","0","196","-20","1552","196","7740"
"20251005","7:30","7784","2956","746","3236","98","152","474","110","708","650","0","14","0","-62","-30","1444","194","7802"
"20251005","8:00","7900","2960","602","2874","102","152","442","108","710","1526","0","12","0","-588","-34","1148","196","7914"
"20251005","8:30","8178","2956","780","2188","102","150","382","112","706","2576","0","10","0","-756","-10","1192","194","8198"
"20251005","9:00","8402","2958","638","1844","102","152","354","106","698","3668","0","6","0","-566","-20","1720","194","8414"
"20251005","9:30","8928","2958","448","1550","108","150","352","112","698","4698","0","8","0","-532","18","1816","194","8946"
"20251005","10:00","9390","2956","428","1528","106","150","332","108","684","5612","0","4","0","-872","24","1852","196","9404"
"20251005","10:30","9668","2956","500","1520","110","152","324","112","616","6270","0","6","0","-1248","26","1852","194","9686"
"20251005","11:00","9786","2952","466","1528","110","148","306","106","556","6654","0","4","0","-1434","24","1816","196","9800"
"20251005","11:30","10004","2956","510","1526","114","150","304","112","560","6938","0","14","0","-1576","26","1804","194","10024"
"20251005","12:00","10204","2954","672","1562","112","150","298","106","558","6834","0","18","0","-1556","8","1696","196","10216"
"20251005","12:30","10550","2952","640","1872","120","152","300","112","558","6942","0","18","0","-1556","2","1740","194","10566"
"20251005","13:00","10556","2954","610","2182","122","150","300","108","556","6692","0","14","0","-1570","8","1748","194","10572"
"20251005","13:30","10284","2950","462","2178","124","150","300","112","560","6314","0","18","0","-1452","-18","1588","194","10304"
"20251005","14:00","10306","2954","454","2122","122","152","296","106","608","6060","0","14","0","-1390","4","1376","194","10320"
"20251005","14:30","10358","2952","528","2194","124","150","296","112","688","5688","0","22","0","-1314","6","1260","194","10380"
"20251005","15:00","10402","2954","512","2480","126","152","320","108","696","5134","0","18","0","-984","-8","1288","192","10412"
"20251005","15:30","10478","2960","576","2632","128","152","394","110","710","4406","0","16","0","-558","-22","1200","194","10498"
"20251005","16:00","10304","2960","532","2888","130","150","408","108","716","3316","0","14","0","-108","-24","968","194","10316"
"20251005","16:30","10180","2952","660","3658","134","148","456","112","714","2278","0","14","0","78","-24","1176","198","10202"
"20251005","17:00","10372","2950","812","3858","136","152","498","106","718","1328","0","12","0","180","-18","548","198","10382"
"20251005","17:30","10314","2950","896","4034","142","170","784","112","716","562","0","18","0","200","-26","424","202","10336"
"20251005","18:00","10288","2952","1068","4136","140","188","826","108","714","72","0","18","0","958","-24","1060","202","10298"
"20251005","18:30","10508","2952","1112","4138","146","190","832","112","712","20","0","22","0","1422","32","1368","204","10526"
"20251005","19:00","10470","2952","1062","4138","144","190","804","108","714","20","0","20","0","1250","28","1152","206","10484"
"20251005","19:30","10352","2964","1060","4142","142","190","592","112","716","14","0","24","0","696","30","512","202","10372"
"20251005","20:00","9978","2958","978","4138","138","190","546","108","716","0","0","24","0","448","-12","440","198","9990"
"20251005","20:30","9694","2960","1076","4140","134","190","486","112","714","0","0","30","0","452","20","792","194","9716"
"20251005","21:00","9558","2962","1038","4134","132","188","442","106","720","0","0","26","0","432","2","808","194","9568"
"20251005","21:30","9266","2960","1004","4142","126","190","384","112","726","0","0","30","0","276","4","860","196","9290"
"20251005","22:00","9034","2960","826","4136","122","190","358","108","722","0","0","22","0","134","-2","728","194","9042"
"20251005","22:30","8852","2960","686","4132","116","210","340","112","734","0","0","26","0","118","-16","740","194","8872"
"20251005","23:00","8588","2958","626","3934","112","208","322","108","744","0","0","14","0","116","0","736","194","8600"
"20251005","23:30","8500","2954","722","3904","106","184","312","112","754","0","0","20","0","118","10","864","194","8526"
"20251005","24:00","8160","2960","554","3698","98","172","298","110","754","0","0","18","0","114","-22","784","196","8166"
"20251006","0:30","7942","2958","548","3664","98","188","304","112","754","0","0","22","0","118","-32","968","194","7960"
"20251006","1:00","7582","2954","560","3380","96","192","304","110","754","0","0","20","0","120","-26","1064","196","7596"
"20251006","1:30","7442","2960","546","3440","94","190","304","112","752","0","0","16","0","100","-26","1220","194","7462"
"20251006","2:00","7396","2956","540","3534","90","192","300","110","752","0","0","12","0","-90","-28","1156","196","7408"
"20251006","2:30","7342","2958","546","3514","90","192","324","112","754","0","0","16","0","-282","-26","1032","194","7360"
"20251006","3:00","7426","2960","562","3726","90","182","330","112","752","0","0","20","0","-290","2","1200","194","7440"
"20251006","3:30","7584","2958","544","3824","90","184","378","112","748","0","0","26","0","-282","20","1196","194","7600"
"20251006","4:00","7790","2964","538","3858","88","184","402","112","758","0","0","20","0","-310","2","1004","194","7806"
"20251006","4:30","7864","2956","556","3698","92","186","524","112","754","0","0","22","0","-16","14","1212","194","7880"
"20251006","5:00","8240","2960","688","3764","90","178","592","110","756","0","0","20","0","124","20","1240","194","8256"
"20251006","5:30","8466","2958","556","3772","96","178","636","112","754","0","0","22","0","120","24","940","194","8482"
"20251006","6:00","8518","2958","590","3726","96","182","646","110","756","0","0","24","0","118","12","880","196","8534"
"20251006","6:30","8530","2958","760","3884","100","180","596","112","752","4","0","24","0","182","-30","1168","194","8548"
"20251006","7:00","8428","2964","784","3816","102","180","580","110","750","152","0","20","0","176","-24","1364","196","8442"
"20251006","7:30","8752","2964","758","3580","110","184","440","112","740","1000","0","24","0","-204","-24","1108","194","8770"
"20251006","8:00","9094","2962","622","3258","110","186","412","110","744","2080","0","20","0","-768","-32","792","194","9106"
"20251006","8:30","9790","2964","766","3146","122","186","364","112","740","3334","0","16","0","-792","-22","1320","194","9810"
"20251006","9:00","10426","2964","602","3000","128","174","342","108","744","4552","0","6","0","-826","-34","1516","194","10438"
"20251006","9:30","11108","2962","586","2788","132","170","308","112","740","5658","0","8","0","-1032","20","1512","190","11130"
"20251006","10:00","11504","2960","538","2684","132","166","304","108","738","6482","0","2","0","-1382","0","1408","190","11514"
"20251006","10:30","11732","2960","456","2400","132","158","306","112","740","7258","0","6","0","-1446","-12","1504","190","11756"
